class_name,query
com_trang,bát cơm trắng món ăn
com_trang,cooked white rice bowl food photo -emoji -icon
com_trang,chén cơm trắng món ăn
com_trang,cơm trắng phần ăn
dau_hu_sot_ca,đậu hũ sốt cà món ăn
dau_hu_sot_ca,Vietnamese tofu tomato sauce food photo
dau_hu_sot_ca,đậu phụ sốt cà chua món ăn
dau_hu_sot_ca,đậu hũ sốt cà chua
ca_hu_kho,cá hú kho món ăn
ca_hu_kho,Vietnamese braised fish recipe photo
ca_hu_kho,cá hú kho tộ
ca_hu_kho,cá hú kho tiêu
thit_kho_trung,thịt kho trứng món ăn
thit_kho_trung,Vietnamese caramelized pork eggs recipe photo
thit_kho_trung,thịt kho tàu trứng
thit_kho_trung,thịt kho hột vịt
thit_kho_trung,thịt kho trứng cút
thit_kho,thịt kho món ăn
thit_kho,Vietnamese caramelized pork food photo
thit_kho,thịt kho mặn -trứng -hột -egg
thit_kho,thịt kho tiêu -trứng -hột -egg
thit_kho,thịt ba chỉ kho tiêu -trứng -hột -egg
canh_chua_co_ca,canh chua cá món ăn
canh_chua_co_ca,Vietnamese sour fish soup food photo
canh_chua_co_ca,canh chua cá hú
canh_chua_co_ca,canh chua cá lóc
canh_chua_khong_ca,canh chua rau món ăn
canh_chua_khong_ca,Vietnamese sour vegetable soup food photo
canh_chua_khong_ca,canh chua chay
canh_chua_khong_ca,canh chua rau muống không cá
suon_nuong,sườn nướng món ăn
suon_nuong,Vietnamese grilled pork chop food photo
suon_nuong,sườn cốt lết nướng
suon_nuong,cơm sườn nướng
suon_nuong,sườn nướng cơm tấm
canh_rau,canh rau món ăn
canh_rau,Vietnamese vegetable soup food photo
canh_rau,canh rau cải món ăn
canh_rau,canh rau muống món ăn
canh_rau,canh cải xanh
canh_rau,canh cải ngọt
canh_rau,canh rau muống luộc
rau_xao,rau xào món ăn
rau_xao,Vietnamese stir fried vegetables food photo
rau_xao,rau xào lagim món ăn
rau_xao,củ sắn xào món ăn
rau_xao,đậu que xào món ăn
rau_xao,đậu đũa xào món ăn
rau_xao,lagim xào
rau_xao,đậu que xào tỏi
rau_xao,đậu đũa xào tỏi
rau_xao,củ sắn xào cà rốt
trung_chien,trứng chiên món ăn
trung_chien,Vietnamese omelette food photo
trung_chien,trứng chiên thịt
trung_chien,trứng chiên hành
